"TSTEP","MONTH","YEAR","EUP_ces85","COP_ces85","MZP_ces85","PhL_ces85","PhS_ces85"
511,7,2048,-0.167133682091709,-0.407515244439182,0.0332077716862451,0.0783223664833808,0.0088439630564674
512,8,2048,-0.123750737889206,-0.490942926506498,0.0277098503605626,-0.193501803957669,-0.2368544385519
513,9,2048,-0.375183360464865,-0.632946405514181,0.00241084608386455,0.389187370423341,-0.447953077318054
514,10,2048,-0.181985037613447,-0.538137907307959,0.181501407816601,0.918587875605931,-0.444957962737706
515,11,2048,0.0606236991805444,-0.424567947332885,0.0202195003365579,1.56641480913985,-0.47542529266743
516,12,2048,-0.216312702501411,-0.647104576191311,-0.398685419109048,0.226213961583393,-0.604627502446747
517,1,2049,0.0518989634386393,-0.469306247505609,-0.204582332967829,0.635094949331338,-0.0990358710259218
518,2,2049,1.75432271115575,0.802196161475722,0.725273179419627,0.730480478864034,-0.0428608797384796
519,3,2049,0.034575785651374,0.0773432989649148,0.381202323892905,-0.0668782760517559,-0.160676625548799
520,4,2049,-0.0739299988993574,-0.155362982526561,-0.359982235574602,-0.205754756793369,-0.196443950460406
521,5,2049,0.303656788294197,0.394183004709116,0.0811764737481919,0.0782631493863275,-0.26089876984299
522,6,2049,-0.321703480303902,-0.385333292682049,-0.00134327941547308,-0.17473021347105,-0.188568191961729
523,7,2049,-0.135031296592016,-0.379467213493702,-0.0116706072073619,0.227682068058056,-0.190183798479109
524,8,2049,0.0445293469375472,-0.381271637688526,0.0730690013986175,0.720102564978124,-0.298679752965642
525,9,2049,-0.24163112914978,-0.558257219503568,0.0597171556302463,-0.278617293786643,-0.363315973539219
526,10,2049,-0.374330466215421,-0.660330502946992,-0.296602590210087,-0.640869471347113,-0.543244759331331
527,11,2049,-0.31928835252048,-0.641716456278764,-0.349233591766419,-0.818834485568288,-0.559268224990997
528,12,2049,-0.315648693315453,-0.647082613750644,-0.283283344282306,0.171261902747998,-0.464054601900734
529,1,2050,-0.695935582732034,-0.896285027590505,-0.553046650267604,0.904942177963547,-0.886245890087863
530,2,2050,-1.80174518017568,-1.39173049372085,0.804944499987608,1.08751102193845,-0.196193585717468
531,3,2050,-0.272445247108667,-0.240161864570812,0.795429595450404,0.205273708080448,-0.167250613284064
532,4,2050,-0.163529756675296,-0.184123807148459,0.173585977872554,-0.0749952873968662,-0.214757645409804
533,5,2050,0.213432057287189,0.359160413053852,0.245972571113461,0.401237555868493,-0.232152642022834
534,6,2050,-0.171344366781175,-0.189994696834382,0.333098064487051,-0.141652369517553,-0.187099273334705
535,7,2050,-0.1166473053279,-0.372718827004262,-0.0344947546533515,0.0342629206642355,-0.387547955140301
536,8,2050,-0.409585588014047,-0.670602052556315,0.122667245450272,0.980846152081552,-0.542644131918213
537,9,2050,-0.473980221445005,-0.69959547496811,0.164664314642111,0.714411030016207,-0.699200030349079
538,10,2050,-0.257065882096297,-0.581835476778028,0.0118899270348314,-0.159186001991549,-0.579651007891135
539,11,2050,-0.310331915768009,-0.639097404760459,-0.35772816967058,-0.814090003809837,-0.599988660617175
540,12,2050,-0.54658458224184,-0.784169843505673,-0.488737107611825,0.0505311426657145,-0.616702846559179
541,1,2051,-0.32148097764136,-0.694375480840432,-0.387156179268697,0.593270999191844,-0.75669245270281
542,2,2051,-2.13803215506004,-1.63276457836631,0.12016706345159,1.10046008628614,-0.1943484829604
543,3,2051,-0.442359838229871,-0.543262815434644,0.196513235921995,0.0316441883223872,-0.172708878852912
544,4,2051,0.529083908271358,0.510585333849665,0.330203516224798,0.0571595294682126,-0.188296268439065
545,5,2051,0.0589989937363387,0.118029373109018,0.253046115522721,0.325775764299165,-0.177944165962546
546,6,2051,-0.285354307047353,-0.28498699954478,0.172900750334158,-0.18697557086467,-0.253532671960777
547,7,2051,-0.172441374834559,-0.399375685819689,-0.060256085703739,0.0289296850651124,-0.320671591852103
548,8,2051,-0.431303432593839,-0.686687028635702,0.207800798244997,0.505674526976172,-0.376973479737143
549,9,2051,-0.453850611155347,-0.688424278566878,0.182485363842717,-0.156211935345321,-0.534824908919944
550,10,2051,-0.376047022141689,-0.674679073511707,-0.324163006104285,-0.561503442415823,-0.412550328172228
551,11,2051,-0.257265783757331,-0.609503531104092,-0.228173484241973,-0.610919417839939,-0.374841151452009
552,12,2051,-0.49534174074626,-0.753788490219239,-0.421993117486268,-0.0331102771518965,-0.452757341106279
553,1,2052,-0.402359881551461,-0.710432788388237,-0.425999263647253,0.330433238082106,-0.661026428528148
554,2,2052,-2.08311796182845,-1.65764547151165,-0.604350189743296,-0.147322906845427,-0.205859567146623
555,3,2052,-0.495553975017895,-0.628410853259473,-0.500732919953294,0.656854381557383,-0.145803729764599
556,4,2052,-0.0493405587060837,0.000168291989305125,0.263343635858975,0.915759700802089,-0.069125553208051
557,5,2052,0.195234213809962,0.216558461130239,0.145674040397126,0.377404618324836,-0.0534485868253907
